,top_view,side_view,label,label_name
0,0101069901524_top.png,0101069901524_side.png,0,damaged
1,0101069901524_top_add.png,0101069901524_side_add.png,0,damaged
2,0101069901524_top_addgaussiannoise.png,0101069901524_side_addgaussiannoise.png,0,damaged
3,0101069901524_top_addtohueandsat.png,0101069901524_side_addtohueandsat.png,0,damaged
4,0101069901524_top_affine.png,0101069901524_side_affine.png,0,damaged
5,0101069901524_top_averageblur.png,0101069901524_side_averageblur.png,0,damaged
6,0101069901524_top_changecolortemp.png,0101069901524_side_changecolortemp.png,0,damaged
7,0101069901524_top_clahe.png,0101069901524_side_clahe.png,0,damaged
8,0101069901524_top_coarsedropout.png,0101069901524_side_coarsedropout.png,0,damaged
9,0101069901524_top_directededgedetect.png,0101069901524_side_directededgedetect.png,0,damaged
10,0101069901524_top_dropout2d.png,0101069901524_side_dropout2d.png,0,damaged
11,0101069901524_top_edgedetect.png,0101069901524_side_edgedetect.png,0,damaged
12,0101069901524_top_emboss.png,0101069901524_side_emboss.png,0,damaged
13,0101069901524_top_fliplr.png,0101069901524_side_fliplr.png,0,damaged
14,0101069901524_top_flipud.png,0101069901524_side_flipud.png,0,damaged
15,0101069901524_top_gammacontrast.png,0101069901524_side_gammacontrast.png,0,damaged
16,0101069901524_top_gaussianblur.png,0101069901524_side_gaussianblur.png,0,damaged
17,0101069901524_top_invert.png,0101069901524_side_invert.png,0,damaged
18,0101069901524_top_linearcontrast.png,0101069901524_side_linearcontrast.png,0,damaged
19,0101069901524_top_logcontrast.png,0101069901524_side_logcontrast.png,0,damaged
20,0101069901524_top_meanshiftblur.png,0101069901524_side_meanshiftblur.png,0,damaged
21,0101069901524_top_medianblur.png,0101069901524_side_medianblur.png,0,damaged
22,0101069901524_top_multiply.png,0101069901524_side_multiply.png,0,damaged
23,0101069901524_top_multiplyaddbrightness.png,0101069901524_side_multiplyaddbrightness.png,0,damaged
24,0101069901524_top_multiplyhue.png,0101069901524_side_multiplyhue.png,0,damaged
25,0101069901524_top_multiplyhueandsat.png,0101069901524_side_multiplyhueandsat.png,0,damaged
26,0101069901524_top_multiplysat.png,0101069901524_side_multiplysat.png,0,damaged
27,0101069901524_top_perspective.png,0101069901524_side_perspective.png,0,damaged
28,0101069901524_top_rotate.png,0101069901524_side_rotate.png,0,damaged
29,0101069901524_top_sharpen.png,0101069901524_side_sharpen.png,0,damaged
30,0101069901524_top_solarize.png,0101069901524_side_solarize.png,0,damaged
31,0105413725474_top.png,0105413725474_side.png,0,damaged
32,0105413725474_top_add.png,0105413725474_side_add.png,0,damaged
33,0105413725474_top_addgaussiannoise.png,0105413725474_side_addgaussiannoise.png,0,damaged
34,0105413725474_top_addtohueandsat.png,0105413725474_side_addtohueandsat.png,0,damaged
